"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","North And Middle Andaman","2021-07-29","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-30","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-31","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-01","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-02","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-03","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-04","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-05","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-06","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-07","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-08","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-09","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-10","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-11","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-12","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-13","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-14","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-15","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-16","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-17","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-18","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-19","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-20","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-21","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-22","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-23","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-24","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-25","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-26","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-27","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-28","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-29","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-30","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2021-07-31","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-01","2021","07","0.030874274","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-02","2021","07","1.038675403","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-04","2021","07","8.160531555","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-05","2021","07","25.01004012","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-06","2021","07","0.966841733","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-07","2021","07","10.02163344","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-10","2021","07","7.476735824","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-12","2021","07","1.622975602","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-14","2021","07","0.949454506","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-15","2021","07","21.03061605","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-17","2021","07","1.526446315","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-18","2021","07","23.42244247","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-21","2021","07","2.262688217","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-22","2021","07","4.650785602","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-23","2021","07","3.632138711","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-25","2021","07","0.181715577","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-28","2021","07","0.009588781","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-30","2021","07","0.19319991","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-31","2021","07","1.04226437","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-03","2021","07","2.79996324","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-08","2021","07","11.80115097","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-09","2021","07","1.826038826","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-11","2021","07","0.014404427","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-13","2021","07","0.017458056","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-16","2021","07","0.682512156","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-19","2021","07","7.896571524","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-20","2021","07","3.790854156","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-24","2021","07","0.048979222","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-26","2021","07","0.735809286","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-27","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2021-07-29","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-01","2021","07","8.497355772","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-02","2021","07","10.42487621","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-03","2021","07","27.9088605","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-04","2021","07","4.054354881","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-05","2021","07","6.828595936","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-06","2021","07","1.352752233","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-07","2021","07","1.557437344","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-08","2021","07","2.315215169","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-09","2021","07","38.38201276","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-10","2021","07","11.23917538","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-11","2021","07","5.729793922","IMD GRID MODEL"
