"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","South Andamans","2022-07-11","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-12","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-13","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-14","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-16","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-17","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-18","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-19","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-20","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-21","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-22","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-23","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-24","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-25","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-26","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-27","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-28","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-29","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-01","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2022-07-15","2022","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-02","2022","07","1.06108854","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-10","2022","07","2.97837612","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-15","2022","07","0.281121307","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-21","2022","07","0.222644812","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-23","2022","07","0.844511167","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-26","2022","07","7.872962551","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-01","2022","07","1.710492815","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-03","2022","07","0.104149026","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-04","2022","07","0.136372728","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-05","2022","07","0.055330597","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-06","2022","07","7.970616746","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-07","2022","07","3.159614231","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-08","2022","07","2.318802327","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-09","2022","07","1.634649463","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-11","2022","07","0.051284668","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-12","2022","07","0.814099375","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-13","2022","07","0.754784931","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-14","2022","07","0.127302315","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-16","2022","07","0.112146495","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-17","2022","07","0.332935418","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-18","2022","07","1.95925787","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-19","2022","07","0.523421959","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-20","2022","07","0.020270087","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-22","2022","07","0.107430462","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-24","2022","07","0.030535725","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-25","2022","07","0.147707182","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-27","2022","07","3.32143675","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-28","2022","07","7.946693796","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2022-07-29","2022","07","1.760669234","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-01","2022","07","5.035328274","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-02","2022","07","5.861035175","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-03","2022","07","0.145283708","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-04","2022","07","0.040271018","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-05","2022","07","0.126656805","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-06","2022","07","7.264824572","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-07","2022","07","0.985264128","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-08","2022","07","3.171103537","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-09","2022","07","5.798599774","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-10","2022","07","3.745561189","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-11","2022","07","0.604603167","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-12","2022","07","1.577465699","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-13","2022","07","0.744349855","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-14","2022","07","0.360586474","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-15","2022","07","0.111501173","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-16","2022","07","0.108189117","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-17","2022","07","6.729372314","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-18","2022","07","2.297857173","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-19","2022","07","2.128155631","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-20","2022","07","2.947172205","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-21","2022","07","11.88172826","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-22","2022","07","3.994432065","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-23","2022","07","0.204930949","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-24","2022","07","0.094114274","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-25","2022","07","2.125275557","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-26","2022","07","9.177242425","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-27","2022","07","1.534027401","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-28","2022","07","2.932441297","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2022-07-29","2022","07","0.486884691","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-01","2022","07","8.688542719","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-02","2022","07","8.10313138","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-03","2022","07","8.798810705","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-04","2022","07","3.207564808","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-05","2022","07","9.770977817","IMD GRID MODEL"
