"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","Nicobars","2020-10-23","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-27","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-02","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-03","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-04","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-01","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-05","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-06","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-07","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-08","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-09","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-10","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-11","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-12","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-13","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-15","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-16","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-17","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-14","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-18","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-19","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-20","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-21","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-22","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-24","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-25","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-26","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-28","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-29","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-30","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2020-10-31","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-07","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-09","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-13","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-20","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-31","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-02","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-03","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-04","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-01","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-05","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-06","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-08","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-10","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-11","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-12","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-15","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-16","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-17","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-14","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-18","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-19","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-21","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-22","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-23","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-24","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-25","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-26","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-27","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-28","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-29","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2020-10-30","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-02","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-03","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-04","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-01","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-05","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-06","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-07","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-08","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-09","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-10","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-11","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-12","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-13","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-15","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-16","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-17","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-18","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-14","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-19","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-20","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-21","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-22","2020","10","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2020-10-23","2020","10","NA","IMD GRID MODEL"
